Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
462.24,452,2864,3742,3648736,3831808,2023-08-08,2023-10-20,450.71,878,183072,374395104,-66220249,1.02346637524405,88.8178850223426,0.0477769241047568
482.47,466,2302,2308,4562564,3801276,2023-08-08,2023-09-15,450.71,6,-761288.000000001,560989430,-200543013,0.67760207175383,90.6156260377312,-0.200271698240275
466.65,456,3525,3560,4596600,3791400,2023-08-08,2023-09-29,450.71,35,-805200,223880463,-64587149,1.69349301372492,70.8646944329394,-0.212375375850609
321.11,320,34113,34112,4434690,3786432,2023-08-08,2023-12-15,450.71,-1,-648258,454663704,-61357874,0.83279838849859,75.3624346930495,-0.171205504284773
468.45,457,3330,3303,4525470,3781935,2023-08-08,2023-09-29,450.71,-27,-743535,223880463,-64587149,1.68926531119422,72.5539597441336,-0.196601739585688
445.06,437,4645,4651,4394170,3748706,2023-08-08,2023-11-17,450.71,6,-645464,188201271,-23914286,1.99186008685351,63.1377175980921,-0.172183147998269
472.77,460,2921,2931,4577207,3742887,2023-08-08,2023-09-29,450.71,10,-834320.000000001,223880463,-64587149,1.67182386075376,74.2257836048874,-0.222908145503725
451.98,450,12493,18876,5709301,3737448,2023-08-08,2023-08-11,450.71,6383,-1971853,45078510,-43521464,8.29097501226194,30.4922545132925,-0.527593427386816
419.6,415,8135,8103,4441710,3727380,2023-08-08,2023-11-17,450.71,-32,-714330.000000001,188201271,-23914286,1.98052860121226,65.1182461993044,-0.191643996587415
461.7,456,6370,6422,5962320,3660540,2023-08-08,2023-08-11,450.71,52,-2301780,45078510,-43521464,8.12036600144947,38.612620514742,-0.628808864265928
430.9,425,6018,6104,4200564,3601360,2023-08-08,2023-11-17,450.71,86,-599204,188201271,-23914286,1.91356837329754,67.0318145726019,-0.166382699868938
468.15,459,3903,3898,4816302,3566670,2023-08-08,2023-08-18,450.71,-5,-1249632,231441865,-174474179,1.5410651828268,74.862171111523,-0.350363784706743
400.45,400,78602,78709,5423538,3541905,2023-08-08,2023-09-01,450.71,107,-1881633,82091235,-31949315,4.31459582743517,29.8014617516718,-0.531248861841297
469.75,460,3526,3573,4668424,3483675,2023-08-08,2023-08-25,450.71,47,-1184749,80658815,-28423940,4.31902576302417,45.5754030108179,-0.340085972428542
