strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
310,436,15889,61.04,635.56,2023-07-21,2023-08-18,15453,574.52,0.90395871357543
310,436,436,61.04,61.04,2023-07-21,2023-08-25,0,0,0
315,2371,2371,23.71,23.71,2023-07-21,2023-07-28,0,0,0
315,2371,441,23.71,8.82,2023-07-21,2023-08-04,-1930,-14.89,-1.68820861678005
315,2371,124,23.71,3.72,2023-07-21,2023-08-11,-2247,-19.99,-5.3736559139785
315,2371,5486,23.71,274.3,2023-07-21,2023-08-18,3115,250.59,0.91356179365658
315,2371,57,23.71,4.56,2023-07-21,2023-08-25,-2314,-19.15,-4.19956140350877
315,441,2371,8.82,23.71,2023-07-21,2023-07-28,1930,14.89,0.628005061155631
315,441,441,8.82,8.82,2023-07-21,2023-08-04,0,0,0
315,441,124,8.82,3.72,2023-07-21,2023-08-11,-317,-5.1,-1.37096774193548
315,441,5486,8.82,274.3,2023-07-21,2023-08-18,5045,265.48,0.967845424717463
315,441,57,8.82,4.56,2023-07-21,2023-08-25,-384,-4.26,-0.934210526315789
315,124,2371,3.72,23.71,2023-07-21,2023-07-28,2247,19.99,0.843104175453395
315,124,441,3.72,8.82,2023-07-21,2023-08-04,317,5.1,0.578231292517007
315,124,124,3.72,3.72,2023-07-21,2023-08-11,0,0,0
315,124,5486,3.72,274.3,2023-07-21,2023-08-18,5362,270.58,0.98643820634342
315,124,57,3.72,4.56,2023-07-21,2023-08-25,-67,0.840000000000001,0.18421052631579
315,5491,2371,274.55,23.71,2023-07-21,2023-07-28,-3120,-250.84,-10.5795023196963
315,5491,441,274.55,8.82,2023-07-21,2023-08-04,-5050,-265.73,-30.1281179138322
315,5491,124,274.55,3.72,2023-07-21,2023-08-11,-5367,-270.83,-72.8037634408602
315,5491,5486,274.55,274.3,2023-07-21,2023-08-18,-5,-0.25,-0.000911410864017499
315,5491,57,274.55,4.56,2023-07-21,2023-08-25,-5434,-269.99,-59.2083333333333
315,57,2371,4.56,23.71,2023-07-21,2023-07-28,2314,19.15,0.807676086039646
315,57,441,4.56,8.82,2023-07-21,2023-08-04,384,4.26,0.482993197278912
315,57,124,4.56,3.72,2023-07-21,2023-08-11,67,-0.840000000000001,-0.225806451612903
315,57,5486,4.56,274.3,2023-07-21,2023-08-18,5429,269.74,0.983375865840321
315,57,57,4.56,4.56,2023-07-21,2023-08-25,0,0,0
320,883,908,8.83,9.08,2023-07-21,2023-07-28,25,0.25,0.0275330396475771
320,883,318,8.83,3.18,2023-07-21,2023-08-04,-565,-5.65,-1.77672955974843
